"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000027684",2932.94291766967,3.8788079913755,0.227436698160566,3.2613902835566e-66,5.27986473004978e-62
"ENSMUSG00000064262",1836.9010432566,3.76888407706495,0.258998149543973,2.47867532882926e-49,2.00636374492085e-45
"ENSMUSG00000094248",2462.87155147,-11.1043510174151,0.780842890199578,2.71725584483297e-44,1.4663218290667e-40
"ENSMUSG00000021360",10742.1974320832,2.06834637341553,0.155030582102461,9.72460602855431e-42,3.93579117490664e-38
"ENSMUSG00000047867",8600.34742540523,2.33207027219846,0.178014993335439,2.15263602896082e-40,6.96980493456934e-37
"ENSMUSG00000040254",1105.00254602652,5.7924484515681,0.452092829753459,8.35184579534684e-40,2.2534671930145e-36
"ENSMUSG00000005800",1601.78424597916,3.90758260038652,0.310780816718242,1.39011276164608e-37,3.21493364261262e-34
"ENSMUSG00000078606",14533.9362838392,2.18358349352832,0.17430838605906,3.79642960758333e-37,7.68254986464582e-34
"ENSMUSG00000003949",6429.9584133384,2.91288614564489,0.238273958487388,1.53112906118031e-35,2.75416093016089e-32
"ENSMUSG00000045868",25573.8729148631,1.49135687245262,0.128679018032368,4.4468428612512e-32,7.19899390807957e-29
"ENSMUSG00000054072",1600.74482938389,3.27153700055359,0.292635695016573,2.92203479916326e-30,4.30043830578673e-27
"ENSMUSG00000039167",43432.9943643617,1.56825332853754,0.139664862333125,3.4121810238672e-30,4.60331654961551e-27
"ENSMUSG00000025647",3629.03175474662,2.37604052598259,0.212934177832177,4.37845787230924e-30,5.45252726883187e-27
"ENSMUSG00000044162",1090.36636535192,3.58062086525442,0.330751770652903,1.92089844474188e-28,2.22124463728045e-25
"ENSMUSG00000025014",12371.8637545903,2.01412789972486,0.188549104081606,9.74469083666603e-28,1.05171199969858e-24
"ENSMUSG00000023034",5979.63691997262,3.28971021875233,0.310040643921277,1.6784259427678e-27,1.598355152204e-24
"ENSMUSG00000079563",1387.97445170833,3.19207666432706,0.300393693795752,1.65307620849039e-27,1.598355152204e-24
"ENSMUSG00000026872",16310.8626263807,-1.4798155306921,0.139666584766437,2.93788801684656e-27,2.64230383915161e-24
"ENSMUSG00000042439",860.325423460486,3.26024225738852,0.3098307609412,3.99452126639531e-27,3.4035423569302e-24
"ENSMUSG00000031451",395.967238796624,5.21572534729291,0.504221517400025,1.35411257467455e-26,1.09608642357031e-23
"ENSMUSG00000024924",3363.83832845639,2.43753185963316,0.246484098345708,2.74829421736162e-24,2.11867309927939e-21
"ENSMUSG00000025776",1274.6116599173,2.91322107022897,0.294260217257887,2.9490524491903e-24,2.17010045908826e-21
"ENSMUSG00000028497",1591.55065338844,2.68161763526202,0.274479314362169,1.03715589828001e-23,7.30022471185002e-21
"ENSMUSG00000024399",482.329417330481,4.92191355873979,0.508625694134722,1.68788990234578e-23,1.13855206787816e-20
"ENSMUSG00000022651",746.64738685683,4.50075780651449,0.463072495359412,1.85314342673938e-23,1.20002155741935e-20
"ENSMUSG00000075602",495.417134726914,4.07975988558868,0.422985013693708,3.15530453961956e-23,1.96466250738081e-20
"ENSMUSG00000017978",859.496428365606,3.1781116166435,0.331163759310089,4.4963830863738e-23,2.69599799204835e-20
"ENSMUSG00000040152",788.409579085018,3.8129407265795,0.401803035654077,8.43150006287355e-23,4.87491266135214e-20
"ENSMUSG00000063450",5252.01110707252,1.76254363122654,0.184288441117427,9.04466454597807e-23,5.04910601154617e-20
"ENSMUSG00000025104",2040.36671540877,2.13698264029195,0.22409966955232,1.07593433973475e-22,5.80610034198864e-20
"ENSMUSG00000055675",1156.55574918186,2.65107453483926,0.278865261332868,1.25211051655875e-22,6.53884424276438e-20
"ENSMUSG00000017009",343.434199230979,8.6172421280977,0.886336051593506,1.39390331955571e-22,7.05184401258982e-20
"ENSMUSG00000034664",3239.31194070736,-1.90964010994677,0.202448827132,2.99038143176177e-22,1.46700863632701e-19
"ENSMUSG00000026131",5100.96796709028,2.24253917024394,0.240676147110017,7.71798088775257e-22,3.6748938997596e-19
"ENSMUSG00000053541",12114.7157856211,1.88666746469026,0.202542674833338,9.61262900406763e-22,4.44625288419574e-19
"ENSMUSG00000078922",3725.97001653481,2.66201193771195,0.286847600266544,1.14838869885373e-21,5.16424017937305e-19
"ENSMUSG00000024659",8029.66224207464,1.87550156661619,0.202012642204911,1.2227814253901e-21,5.35016445828117e-19
"ENSMUSG00000027611",1010.40346865454,5.26353737298038,0.568634672784098,2.66658230843107e-21,1.13603423661028e-18
"ENSMUSG00000090877",3067.39676251902,-2.04305527940735,0.223865636095567,4.7087073965594e-21,1.95459651392052e-18
"ENSMUSG00000021250",33235.786032557,1.22700281761131,0.1332284161785,4.96061908165018e-21,2.00768655782087e-18
"ENSMUSG00000033082",364.164932003702,6.90353548776314,0.733838447022364,5.28395691890778e-21,2.08638972098044e-18
"ENSMUSG00000003418",1161.8500806008,-3.19132821202335,0.359619384296251,3.35757669741652e-20,1.29418593224943e-17
"ENSMUSG00000048612",1708.216879699,3.07998273501209,0.347497954082715,3.82074988833813e-20,1.43537542904374e-17
"ENSMUSG00000064345",18953.9398425114,-1.33501243767363,0.149266933984138,3.90119951065071e-20,1.43537542904374e-17
"ENSMUSG00000041515",3946.52820841011,-2.2092040364716,0.249489386334353,5.25395804301391e-20,1.89014059463005e-17
"ENSMUSG00000079362",581.180565051075,3.66568418397057,0.417275452285183,6.62333945632555e-20,2.33098353170553e-17
"ENSMUSG00000022957",2733.87767543223,2.20821830024624,0.250122239981953,7.60731229630244e-20,2.62031444180511e-17
"ENSMUSG00000026070",502.478372818052,3.70241358553023,0.420883986864351,9.34271409706069e-20,3.15102496911074e-17
"ENSMUSG00000032484",11818.2156230573,2.78174860918521,0.317242767565567,1.04824082750801e-19,3.46325933806678e-17
"ENSMUSG00000035356",4058.50970285856,1.55962151920203,0.177094763272278,1.17485094039657e-19,3.803932374816e-17
"ENSMUSG00000054641",4512.05232042811,1.93486842655288,0.224072999866899,4.56020652426127e-19,1.44755261610325e-16
"ENSMUSG00000028214",1222.89751581775,2.49324924987665,0.289493656062034,4.72635258312135e-19,1.47144080707984e-16
"ENSMUSG00000079419",2348.08726611222,-2.17198743902612,0.254617921387411,9.14246775888861e-19,2.79259265186128e-16
"ENSMUSG00000069769",26158.7982986907,1.33753385511277,0.155677642705251,9.36747209252251e-19,2.80833343899717e-16
"ENSMUSG00000015224",1388.32797691542,2.26434423400054,0.265788967050544,1.01319794580336e-18,2.98230209902011e-16
"ENSMUSG00000022636",2885.44189205423,2.00845603433112,0.235869289309515,1.21584826403999e-18,3.51488706188275e-16
"ENSMUSG00000025330",907.342728371689,2.6625565146957,0.314309794709838,1.628801337554e-18,4.62608155327397e-16
"ENSMUSG00000020546",1956.18958512163,2.11297204399131,0.249250611525657,1.66892326478626e-18,4.65831012648702e-16
"ENSMUSG00000049932",5674.79927792284,-1.3384525478794,0.158193649867167,2.77245733844713e-18,7.60734099188485e-16
"ENSMUSG00000095079",763.371981010028,11.5985697750566,1.41925872457072,4.49700789845704e-18,1.21336768113535e-15
"ENSMUSG00000021701",1466.34531423639,2.47399811738843,0.298788427811844,7.62631640581404e-18,2.02397436547088e-15
"ENSMUSG00000045730",1814.45288614414,3.08106813749848,0.373111945058693,7.95868755526471e-18,2.07811601342226e-15
"ENSMUSG00000028270",2361.94085795931,1.91043212831971,0.23068295357793,9.22405357647368e-18,2.37028894205607e-15
"ENSMUSG00000002985",7819.23173725391,-1.75879629490807,0.213461302331986,1.34780845060838e-17,3.40932359482798e-15
"ENSMUSG00000024480",3096.50095929444,-1.84992402862881,0.225217665096718,1.5628225011311e-17,3.89238976474021e-15
"ENSMUSG00000026072",3202.06362527656,1.52503881493201,0.18511118191391,1.61292873473657e-17,3.95631867979551e-15
"ENSMUSG00000089417",3758.62561301465,1.86673302430227,0.228751070888621,2.44759656245407e-17,5.91405085814461e-15
"ENSMUSG00000068855",13734.8462814544,-1.10877887226166,0.135464910224168,3.67391615467067e-17,8.74662185705345e-15
"ENSMUSG00000026358",31660.4501688274,1.10941630954584,0.135535966676194,4.52956250991692e-17,1.06274039816007e-14
"ENSMUSG00000029561",1279.91998208922,2.2988118435076,0.287115117346126,7.15908730842782e-17,1.65569234908768e-14
"ENSMUSG00000026360",8738.04634556231,1.17214971458822,0.145139693772414,8.60777139548024e-17,1.96269311438633e-14
"ENSMUSG00000025085",2936.54385157894,1.6592517137625,0.207081976644086,9.27589791630149e-17,2.08565988009729e-14
"ENSMUSG00000015970",2874.1141869573,-1.67344477693327,0.209283482795558,1.01371205958207e-16,2.24808007295536e-14
"ENSMUSG00000028211",3296.64876768525,1.63006510884514,0.203620640409576,1.06058638533412e-16,2.28931106562322e-14
"ENSMUSG00000068220",2833.46447759456,-1.94990055918004,0.24450488828546,1.0474483780524e-16,2.28931106562322e-14
"ENSMUSG00000032035",1942.58542882337,1.93891346933953,0.243783938236111,1.3609251641224e-16,2.89894966868126e-14
"ENSMUSG00000009350",43874.8777979445,-2.07775514148018,0.262564995711272,1.61228579190107e-16,3.38977853053071e-14
"ENSMUSG00000000078",15911.363643741,1.24483402031768,0.156311159383138,2.14296053149735e-16,4.44774205697571e-14
"ENSMUSG00000027698",3551.96005121074,1.4231116162292,0.179391186836204,2.21462908936862e-16,4.53830763642894e-14
"ENSMUSG00000042817",15500.6761836547,1.35077158412751,0.171263218484909,3.1445257928831e-16,6.36334100762307e-14
"ENSMUSG00000061615",11470.0345172245,-1.21247838645675,0.153689865374071,4.00708583674277e-16,8.00872995197885e-14
"ENSMUSG00000059588",10888.7824732214,1.26078050736458,0.161321174729629,6.33937897452188e-16,1.25156349046994e-13
"ENSMUSG00000051998",963.169340515453,4.80793496247523,0.618949379854249,6.49807962435141e-16,1.26743868721235e-13
"ENSMUSG00000076609",457.57406190066,4.9154820112227,0.634739178863302,7.35866962418904e-16,1.41820836364281e-13
"ENSMUSG00000015340",3615.04659640555,2.88133577644287,0.378713686598413,1.67879224702933e-15,3.19740796319503e-13
"ENSMUSG00000024044",789.002036714969,2.58466414683567,0.343108707938021,2.75604737074734e-15,5.18809894011961e-13
"ENSMUSG00000061482",24212.6052931667,-1.28281767293818,0.170346565879381,5.58512622282657e-15,1.03928285541769e-12
"ENSMUSG00000027326",11158.0233986788,-1.15202573854942,0.152219043266003,5.64995046850834e-15,1.03939827425774e-12
"ENSMUSG00000046157",2692.1242648642,-1.54381860237568,0.20637296425271,6.37425814724059e-15,1.15947039489526e-12
"ENSMUSG00000025151",1604.40385211125,2.29342539371937,0.309071147799011,7.76607669068324e-15,1.3969446171719e-12
"ENSMUSG00000043263",1724.93434507683,-1.84856352239719,0.249414004745018,8.90655864367702e-15,1.58448657013722e-12
"ENSMUSG00000023959",988.207538053162,2.25583511512734,0.305369769994351,9.38295510436043e-15,1.65109413244012e-12
"ENSMUSG00000020160",12050.3451208937,1.22635849250834,0.164342868097096,1.15124197943243e-14,2.00402757043351e-12
"ENSMUSG00000078763",323.665924328792,12.7364109073315,3.17773106344466,1.2501443763335e-14,2.15304120302798e-12
"ENSMUSG00000052713",7395.95451904174,1.4174859993297,0.191842121150023,1.46152900827146e-14,2.49059927525334e-12
"ENSMUSG00000032238",1116.77488080778,3.01941848247437,0.41717917414689,2.22155468856697e-14,3.7077060673413e-12
"ENSMUSG00000028944",2150.15432501366,1.8047236240532,0.247476923080209,2.47424688064206e-14,4.08730436231779e-12
"ENSMUSG00000032034",195.983938353273,-5.877292953892,0.81858462638076,2.60236408028894e-14,4.25552243391895e-12
"ENSMUSG00000036356",2203.55052968558,1.85751166717929,0.255433495895098,2.77728294415281e-14,4.49614335828899e-12
"ENSMUSG00000006389",1073.83571119163,2.04535482473162,0.282776709962102,3.37360905892111e-14,5.40746109454196e-12
"ENSMUSG00000013974",237.386128608845,9.01345528960918,1.17916388583642,4.05509567951348e-14,6.43607293682782e-12
"ENSMUSG00000064147",3853.48417198186,-2.05711978754138,0.286116052641421,4.18085141757282e-14,6.57124306787246e-12
"ENSMUSG00000027750",271.566760165969,12.4524172892209,3.14896052231008,4.30060602117973e-14,6.69447219969987e-12
"ENSMUSG00000003153",4168.77511186212,1.47739833350111,0.204364183667516,4.52322326823367e-14,6.97394871327952e-12
"ENSMUSG00000029322",16626.9641640128,-1.33145319364757,0.184220384799617,5.03677505946863e-14,7.69248598469223e-12
"ENSMUSG00000000204",878.083691588789,3.11676524361712,0.437335016011716,6.00868057394048e-14,9.09107755247873e-12
"ENSMUSG00000061859",1194.82601391972,2.82247047484486,0.396203397680451,6.82976189140299e-14,1.0237686598141e-11
"ENSMUSG00000017737",549.94659707771,3.96239210572495,0.563080854031861,7.73151625405481e-14,1.12761726699904e-11
"ENSMUSG00000074874",1223.68108060166,1.90846693488499,0.26779592293303,7.71088152825539e-14,1.12761726699904e-11
"ENSMUSG00000026435",376.405634400209,-4.09717383710765,0.583490317358665,8.07224873525698e-14,1.16680031049174e-11
"ENSMUSG00000034765",2512.19868165615,2.01168497466169,0.283497683854071,9.06502401834664e-14,1.29870507816826e-11
"ENSMUSG00000019122",3750.13033582205,-1.41557852611527,0.20058710740765,1.60403039554336e-13,2.27786386609223e-11
"ENSMUSG00000050075",4480.93542885837,1.21041776368449,0.170908243534194,1.70852714424394e-13,2.40516051636218e-11
"ENSMUSG00000001865",2567.34586161124,-2.11464646531799,0.302435059295997,1.81668272889196e-13,2.53536868086482e-11
"ENSMUSG00000020263",1839.67077626247,1.83278707463873,0.261900763398091,1.88853939419384e-13,2.61312514979521e-11
"ENSMUSG00000048148",2927.39838543935,1.69189824601648,0.241915421305575,2.18875747850456e-13,3.00286396775511e-11
"ENSMUSG00000035498",287.210809555327,4.14682059527961,0.601719536145288,2.28320517722815e-13,3.10611837093669e-11
"ENSMUSG00000052730",411.232318056549,3.58286081246368,0.517743423411438,2.68872906300866e-13,3.62731956675393e-11
"ENSMUSG00000041189",262.344636886607,4.94567215998037,0.726201124822074,3.40678632924216e-13,4.55805486645465e-11
"ENSMUSG00000068606",261.932039764896,12.3570861368957,3.18103168236894,3.81062689062597e-13,5.05657694527409e-11
"ENSMUSG00000015766",981.502000877863,2.11848915830105,0.307804800940141,4.15792728992968e-13,5.47257600785948e-11
"ENSMUSG00000073409",5904.95240255095,1.19195457306039,0.171518491669291,5.23934521186731e-13,6.84030319636451e-11
"ENSMUSG00000031133",7990.6972233703,1.02172729441862,0.1472208351946,6.73238823734187e-13,8.7192506539462e-11
"ENSMUSG00000052914",959.328877163325,2.11816153721863,0.314371250285655,1.02633100534081e-12,1.31867243217956e-10
"ENSMUSG00000030103",721.432817880427,2.43658286033493,0.362546501273584,1.18130363020477e-12,1.50583657239253e-10
"ENSMUSG00000033981",244.434962577672,12.2285892335742,3.1858194626137,1.25640189000575e-12,1.5890539216643e-10
"ENSMUSG00000053113",1272.18802718093,1.92044865690208,0.285438850685493,1.27564562623862e-12,1.60088581730055e-10
"ENSMUSG00000038227",3535.86768730017,1.49997619793531,0.222498490362846,1.41149636330044e-12,1.75774727888238e-10
"ENSMUSG00000041444",4458.85574896391,1.14360550001143,0.169035488896199,1.74117960889141e-12,2.13545126426841e-10
"ENSMUSG00000050600",1768.53823887497,1.75837722307014,0.264763402037785,2.49581013532467e-12,3.03794513389257e-10
"ENSMUSG00000033565",452.384857812655,3.0569387975429,0.463038682331131,2.52744477741788e-12,3.05349279862821e-10
"ENSMUSG00000040537",824.677949338928,2.46041173110272,0.374468057164348,2.77977093534943e-12,3.30894938767441e-10
"ENSMUSG00000067147",222.853158440604,-11.6558576014966,3.19183253019394,2.7644061382749e-12,3.30894938767441e-10
"ENSMUSG00000064341",45674.6345507961,-1.06379198397673,0.15817034909008,2.88258291891531e-12,3.40628721710364e-10
"ENSMUSG00000073555",369.757586031474,4.88916898647612,0.760277672586661,2.9788855499485e-12,3.49457812812437e-10
"ENSMUSG00000026473",8258.96852928948,1.16111628504049,0.173714521949663,3.04279415889739e-12,3.54387011786977e-10
"ENSMUSG00000033590",460.892003795718,2.97957252229802,0.454903644784358,3.63206696009789e-12,4.19996657264463e-10
"ENSMUSG00000022257",584.836940794901,2.43616011086098,0.372872991512815,4.09825178860458e-12,4.70543249685954e-10
"ENSMUSG00000042156",268.314890097858,3.8267168145758,0.590024927663613,4.13981870485161e-12,4.71968486005934e-10
"ENSMUSG00000071716",268.945541678103,3.5500570896928,0.545109891125468,4.19965893958299e-12,4.75442507502861e-10
"ENSMUSG00000040111",1923.07930546401,1.48494637542657,0.225828235957697,4.43324368665423e-12,4.98401264189203e-10
"ENSMUSG00000040314",5956.03445808622,-1.5349748755792,0.234381325677799,4.80918664404564e-12,5.33259743701746e-10
"ENSMUSG00000027799",404.287951199817,3.42606476999419,0.527427198491443,5.00048691693864e-12,5.50699882301495e-10
"ENSMUSG00000031503",730.429257582753,3.44530306948459,0.530428871599712,5.1326126058181e-12,5.61431523483711e-10
"ENSMUSG00000031502",643.743595024117,2.45556011029961,0.379724209441805,5.61111813217988e-12,6.09653633837987e-10
"ENSMUSG00000022010",7375.0695343917,1.10349230718673,0.168050115822858,7.06344154578993e-12,7.62333701231954e-10
"ENSMUSG00000019866",404.870359357518,3.39046184611932,0.529093501864376,7.53295010518578e-12,8.07622048032136e-10
"ENSMUSG00000017897",944.74534249718,2.10117940142019,0.32634866767536,7.65935864245526e-12,8.15772085938869e-10
"ENSMUSG00000048852",517.590323642207,2.5815763005204,0.402214199039113,7.79051511859181e-12,8.24317968986163e-10
"ENSMUSG00000024042",4572.02037143112,2.11319535903591,0.328405287926841,8.36952827804006e-12,8.79833073332406e-10
"ENSMUSG00000049625",1227.26249994357,-2.26975677041201,0.355825643755397,1.03828655815925e-11,1.08444007032517e-09
"ENSMUSG00000054435",451.98549855778,3.22797543605181,0.505612676025823,1.08490368160879e-11,1.1258657501003e-09
"ENSMUSG00000014932",445.63860232267,2.74324917564244,0.43511483098415,1.50800216302296e-11,1.54512955804928e-09
"ENSMUSG00000044220",618.413774641906,3.89869791562159,0.624090492891998,1.55245803162705e-11,1.5806756650321e-09
"ENSMUSG00000022816",358.841731967761,3.27680545969242,0.51845095216559,1.56560328937477e-11,1.58409697823051e-09
"ENSMUSG00000062727",7671.30649537042,-1.04269260733763,0.161631979495182,1.61471186126222e-11,1.61361545197371e-09
"ENSMUSG00000090919",157.48943496585,5.6308829485206,0.874237675478155,1.61189080140605e-11,1.61361545197371e-09
"ENSMUSG00000025780",5696.07182641811,1.23773387050901,0.193076988231378,1.68056310816271e-11,1.66911878270221e-09
"ENSMUSG00000032827",3804.61888415042,1.42422712722905,0.223307919567865,1.70398586693445e-11,1.68206263413426e-09
"ENSMUSG00000070868",154.779638142049,11.4825680651915,3.11217322657963,1.8392174469179e-11,1.8045509847366e-09
"ENSMUSG00000021758",795.287704763555,3.16522803969028,0.50396291065744,2.08277959724987e-11,2.03121198192037e-09
"ENSMUSG00000060550",4272.15372321826,1.09571676404866,0.171093259498262,2.09715644900488e-11,2.03298597322994e-09
"ENSMUSG00000047766",1198.56511678621,1.68424376136713,0.267829180393057,2.60537234485124e-11,2.51061743397599e-09
"ENSMUSG00000047735",6614.38895665598,1.25087926479351,0.197488772333224,2.7537260033337e-11,2.63787398035321e-09
"ENSMUSG00000030208",762.962404244541,2.45818199080997,0.394034447998007,2.84763703803577e-11,2.71178800051536e-09
"ENSMUSG00000024109",2071.64663961873,1.42619226808675,0.227430399800611,3.4844088453007e-11,3.2987774734838e-09
"ENSMUSG00000052749",520.816653909555,3.45419535032489,0.558202516939392,3.69347975322106e-11,3.47638044912184e-09
"ENSMUSG00000040296",3520.82461692493,1.50078128014177,0.240401047667336,3.81618009002561e-11,3.57110632817483e-09
"ENSMUSG00000083899",2181.59085469918,-1.69157806864986,0.272164932057044,3.8501462472354e-11,3.58218491933873e-09
"ENSMUSG00000022528",306.85799531873,5.77129225433538,0.96846337640256,3.90665321339225e-11,3.61398907837755e-09
"ENSMUSG00000038235",302.6267005723,3.66628071189729,0.600549497592629,3.99612295206231e-11,3.67575195857595e-09
"ENSMUSG00000068036",1674.73228530067,1.53783749192186,0.247043595164988,4.17960619725213e-11,3.82280478685394e-09
"ENSMUSG00000026107",2959.07014772762,1.1939880909425,0.190330565704967,4.30763057345604e-11,3.91776580638651e-09
"ENSMUSG00000026822",1511.46872388204,2.91468155256679,0.47639146950468,4.8662716713019e-11,4.40112134562606e-09
