"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000044468",15593.8196558132,-7.80431672569296,0.185030439985395,0,0
"ENSMUSG00000069917",503028.386864772,-11.6635757344643,0.305091209500494,0,0
"ENSMUSG00000073940",153051.615084581,-10.5919655937065,0.192027499052633,0,0
"ENSMUSG00000101111",1263697.80141048,-5.80914045451335,0.15249042501467,0,0
"ENSMUSG00000039167",17292.2632825353,7.50075233133957,0.204619294402541,1.24274624941897e-295,3.8741371579387e-292
"ENSMUSG00000018983",17479.8007374085,-6.57061390834167,0.190520303741757,1.10435294498887e-261,2.86892489225691e-258
"ENSMUSG00000034248",80626.5040488131,-6.66375557679246,0.193904710705236,4.63574646319157e-260,1.03224828745381e-256
"ENSMUSG00000069919",61754.177691638,-11.3164207079858,0.337126712459523,2.09625250109008e-246,4.08428596681139e-243
"ENSMUSG00000001763",21441.9026291227,-8.43408977176713,0.268418216165515,3.27171610502892e-217,5.66624876989843e-214
"ENSMUSG00000022309",12375.5147953783,6.92425508035847,0.224816572376941,3.67893791525742e-209,5.73436052851174e-206
"ENSMUSG00000032126",14346.0784144711,-6.02785800762534,0.196600838832509,1.96409218876106e-207,2.78311863147442e-204
"ENSMUSG00000103065",11241.4396255186,-10.1572504406073,0.334373257683766,1.62098689527257e-206,1.94356328743181e-203
"ENSMUSG00000103720",11241.4396255186,-10.1572504406073,0.334373257683766,1.62098689527257e-206,1.94356328743181e-203
"ENSMUSG00000036352",11734.8683340431,-5.44399545125751,0.180241832708849,1.54204569725993e-201,1.71684759165647e-198
"ENSMUSG00000027330",12706.9446940025,-5.81955163401901,0.192807375091634,1.95695487381919e-201,2.03353704121465e-198
"ENSMUSG00000052305",184526.622009123,-11.4505456957187,0.379694000726742,2.4661572319493e-201,2.40249954839961e-198
"ENSMUSG00000042331",19555.5081774062,-5.15635080975001,0.171653291765839,2.12973610283157e-199,1.95271744910798e-196
"ENSMUSG00000025175",8195.07270201277,-8.89496047120486,0.297341238110489,3.55578616385113e-199,3.07911327421931e-196
"ENSMUSG00000025495",6474.0578313435,-6.093347642434,0.204648669962751,6.73166523219446e-196,5.52244557759026e-193
"ENSMUSG00000062729",17477.2062096549,-6.47744128261392,0.217928572046195,1.32301018278173e-195,1.03108798595094e-192
"ENSMUSG00000031974",29664.9748036994,-6.84391635479137,0.232022169952112,2.76880185034453e-192,2.05511021149143e-189
"ENSMUSG00000049932",29978.2267532243,-5.11170436389262,0.174354413608155,4.38968080537171e-190,3.11008885060586e-187
"ENSMUSG00000006574",294472.415246037,-13.4625235485044,0.458981565906696,5.59568285811806e-189,3.7921699438907e-186
"ENSMUSG00000019302",7445.47074506353,-5.61897224135228,0.193452860483185,1.05204400405167e-186,6.83258745464723e-184
"ENSMUSG00000042744",34239.710532525,-5.57781174429917,0.192603520374279,1.20476837935758e-185,7.51148989161863e-183
"ENSMUSG00000039452",3540.98756192015,-8.35459319735609,0.290815801208478,1.32859369150458e-182,7.96491918056996e-180
"ENSMUSG00000025728",29344.3976910655,-6.13990395064701,0.215181304715896,3.59688124582917e-180,2.07646622143479e-177
"ENSMUSG00000037415",13836.0906039534,-5.83419853814835,0.204782028206647,5.72353671130015e-180,3.18617023996555e-177
"ENSMUSG00000000804",21381.6467067039,-5.36853601651904,0.18819099020988,1.17617764538184e-179,6.3217520546782e-177
"ENSMUSG00000028542",10374.7177049203,-9.98088813577651,0.355754550197974,3.20453500591728e-173,1.66496957124109e-170
"ENSMUSG00000038664",77624.0320429481,-4.20879814904108,0.152869728274193,1.03708847501617e-167,5.21454776131517e-165
"ENSMUSG00000028328",7764.4606673376,-11.8096355741099,0.434285523672738,6.44535526949928e-164,3.13949226830267e-161
"ENSMUSG00000044768",12070.1577118788,-4.94145202521928,0.181706171614336,7.13950858213296e-164,3.3722278869608e-161
"ENSMUSG00000034059",5423.80661825113,-10.723580181598,0.396931536360874,5.4018803094973e-163,2.47644436423925e-160
"ENSMUSG00000022564",8712.23472149685,-5.96761620260136,0.224686347620775,8.61263168376989e-157,3.83557400156918e-154
"ENSMUSG00000053641",23138.2472716289,-4.4124907621128,0.1676162155496,6.7524740563091e-154,2.92363369765805e-151
"ENSMUSG00000096351",3928.69281826423,-9.66723749795875,0.369420899982763,1.80423270519875e-153,7.6006959934954e-151
"ENSMUSG00000029516",16355.3020205995,-5.1142005709909,0.194807807033493,4.97025557436908e-153,2.0387203588866e-150
"ENSMUSG00000056091",5949.58978255527,-5.38632564073162,0.2054185403228,1.18685719744769e-152,4.74347259913261e-150
"ENSMUSG00000020802",7721.00983496764,-5.21457642593058,0.201105234201487,2.90003849032016e-149,1.13007249871551e-146
"ENSMUSG00000041528",23723.3675756779,-6.12972500714372,0.236929309562267,1.09213961183925e-148,4.15199515359473e-146
"ENSMUSG00000002944",6500.67427760543,-8.19880638232271,0.319626935261709,3.25257522416727e-147,1.20709261950227e-144
"ENSMUSG00000017716",15301.3193258881,-4.80402616726502,0.186662765322769,3.43212918140768e-147,1.24410691978143e-144
"ENSMUSG00000031004",651571.673047774,-5.63387314069555,0.220699804671264,6.52894727222407e-145,2.31287957118538e-142
"ENSMUSG00000024663",5744.21961567188,-5.44305633288372,0.213319889812858,7.45334938921213e-145,2.58167459843665e-142
"ENSMUSG00000025993",6280.69533567013,-5.07310927791404,0.198856021192711,1.16891480599243e-144,3.96084240891392e-142
"ENSMUSG00000021608",14613.8440774171,-5.25456217583057,0.206430279925405,5.68427806634781e-144,1.88512430255667e-141
