"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000007659",8922.90304067167,-7.53762352601023,0.18979874773803,-39.7137684828882,0,0
"ENSMUSG00000022100",96500.689472713,-7.20863175771122,0.178781617755278,-40.3208777737912,0,0
"ENSMUSG00000032126",23573.0482578303,-7.83402318981456,0.184049782814743,-42.5646967358824,0,0
"ENSMUSG00000034248",110212.106174873,-8.19516381443439,0.163881734418202,-50.0065723829939,0,0
"ENSMUSG00000042066",59569.4521392487,-9.47627084503781,0.209701727197304,-45.1892837111531,0,0
"ENSMUSG00000042331",23328.8740846811,-6.50526862778752,0.172014731812767,-37.8180901090977,0,0
"ENSMUSG00000044468",25727.3623844584,-9.60177241677698,0.186956439509459,-51.3583401672088,0,0
"ENSMUSG00000052305",500255.319311506,-13.9751513311535,0.28517652991973,-49.0052646867087,0,0
"ENSMUSG00000053641",47129.4339443343,-6.56077197933158,0.167262871511869,-39.2243175071046,0,0
"ENSMUSG00000056091",9950.5907752327,-7.22791902084176,0.183823203897813,-39.3199491009838,0,0
"ENSMUSG00000064337",43291813.8086465,-14.3172100519494,0.309569672921241,-46.2487488417248,0,0
"ENSMUSG00000064339",89853794.4553718,-11.484501528525,0.223917133036066,-51.2890700805605,0,0
"ENSMUSG00000064345",156319.701526405,-6.84980990587077,0.179735387368013,-38.1105246227646,0,0
"ENSMUSG00000064363",732701.83961852,-7.62867542183486,0.198857457249644,-38.3625312691084,0,0
"ENSMUSG00000064367",772468.364720589,-8.25688665939531,0.174969475242053,-47.190440778157,0,0
"ENSMUSG00000064370",444699.015824993,-7.1085969203323,0.173249044772363,-41.0310886831871,0,0
"ENSMUSG00000067736",69355.3227015713,-7.41254555612511,0.178748859648244,-41.4690508835251,0,0
"ENSMUSG00000069917",443028.812143868,-12.5636058416731,0.278400016507436,-45.1278918704285,0,0
"ENSMUSG00000069919",223378.083457802,-14.2466191992252,0.271960941165812,-52.3847988544032,0,0
"ENSMUSG00000073940",298087.689086983,-12.6224853476773,0.177292492758556,-71.1958253351827,0,0
"ENSMUSG00000098178",10208333.2859264,-13.7951815063746,0.301185931879066,-45.8028747236232,0,0
"ENSMUSG00000020802",11432.5139917702,-6.88208508399195,0.184820338268503,-37.2366220539744,1.74450034255803e-303,1.20418100918574e-300
"ENSMUSG00000064357",1084311.90985019,-14.0630181534011,0.391016869526291,-35.9652466412462,2.9240869332679e-283,1.93066018124376e-280
