gene_id,length,HSC_1,HSC_2,CMP_1,CMP_2,CFUE_1,CFUE_2,Eryth_1,Eryth_2
ENSMUSG00000000001,3262,6015,13704,5814,16158,1440,1096,504,1089
ENSMUSG00000000003,799.5,0,0,0,0,0,0,0,0
ENSMUSG00000000028,2091.62,1290,2934,1752,5155,2229,1426,137,202
ENSMUSG00000000031,972.49,43,14,0,25,0,0,0,0
ENSMUSG00000000037,4842,367,601,333,1211,71,43,22,90
ENSMUSG00000000049,665.5,0,0,0,0,0,0,0,0
ENSMUSG00000000056,3441.76,1206,2577,1328,5870,9728,6809,1589,2381
ENSMUSG00000000058,2733,297,568,45,138,55,1,25,90
ENSMUSG00000000078,4217,14190,29606,6006,18248,1909,742,310,465
ENSMUSG00000000085,1556.56,436,729,478,1163,399,175,63,51
ENSMUSG00000000088,690,530,707,611,2209,236,214,254.64,364
ENSMUSG00000000093,3626,0,14,0,5,102,0,2,7
ENSMUSG00000000094,2959,5,6,9,0,0,0,0,0
ENSMUSG00000000103,2831,0,0,0,0,0,0,0,0
ENSMUSG00000000120,3446,0,0,0,0,0,0,0,0
ENSMUSG00000000125,3076,0,0,0,0,0,0,0,0
ENSMUSG00000000126,3319,0,25,0,0,0,0,0,0
ENSMUSG00000000127,2940.66,708,1415,594,1493,375,218,33,40
ENSMUSG00000000131,3004.6,2188,4420,2103,7098,1595,940,268,350
ENSMUSG00000000134,2674.19,433,662,363,1349,769,337,170,268
ENSMUSG00000000142,1051,8,26,42,190,0,33,4,0
ENSMUSG00000000148,3274.85,668,863,658,1743,136,69,26,17
ENSMUSG00000000149,3416,952,1833,1503,5065,827,480,156.91,216.8
ENSMUSG00000000154,1392.23,86,132,0,139,0,0,0,1
ENSMUSG00000000157,2432.07,1006,431,36,257,617,453,245,410
ENSMUSG00000000159,1135.67,0,31,0,0,0,0,0,0
ENSMUSG00000000167,1157,8,96,5,216,0,7,0,0
ENSMUSG00000000168,2945.81,1289,2494,1942,4527,306,249,118,216
ENSMUSG00000000171,1287,2076,4035,2791,7780,948,736,238,299
ENSMUSG00000000182,1814,0,0,0,0,0,0,0,0
ENSMUSG00000000183,1232,0,0,0,0,0,0,0,0
ENSMUSG00000000184,5701,5742,7900,5249,18407,681,272,167,230
ENSMUSG00000000194,3906.67,921,1482,504,2061,904,298,57,81
ENSMUSG00000000197,7115,0,0,0,0,0,0,0,0
ENSMUSG00000000202,1423.86,0,0,0,0,0,0,0,0
ENSMUSG00000000204,3923.72,1475,1265,93,377,196,448,527,617.07
ENSMUSG00000000214,1265,0,0,0,0,0,0,0,0
ENSMUSG00000000215,447,0,0,0,0,0,0,0,0
ENSMUSG00000000216,2991,0,0,0,0,0,0,0,0
ENSMUSG00000000223,4147,13,0,9,4,525,263,5,1
ENSMUSG00000000244,1528.07,2678,3231,2035,5583,1058,536,257,446
ENSMUSG00000000247,2840,14,0,0,0,0,0,0,0
ENSMUSG00000000248,1491,0,0,0,0,0,0,0,0
ENSMUSG00000000253,1580,370,406,389,1195,53,20,6,7
ENSMUSG00000000263,2074.67,0,0,0,0,0,0,0,0
ENSMUSG00000000266,5916,185,129,0,60,24,0,0,0
ENSMUSG00000000275,3795.99,1828,3709,1512,6413,2562,1556,353,594
ENSMUSG00000000276,6471.53,896,1771,811,1394,199,155,2,14
ENSMUSG00000000278,2097,415,660,415,1197,1066,381,102,163
ENSMUSG00000000282,4590,513,728,337,1384,79,184,31,32
ENSMUSG00000000290,2843.31,2092,2233,541,1404,1126,949,710,856
ENSMUSG00000000295,943.94,691,1795,599,1817,6,44,11,54
ENSMUSG00000000296,1267,0,0,0,11,0,0,0,0
ENSMUSG00000000301,961,29,132,8,149,0,0,15,6
ENSMUSG00000000303,4430,53,64,42,43,4,25,43,17
ENSMUSG00000000305,1536.33,0,0,0,0,0,1,0,0
ENSMUSG00000000308,897.9,0,0,0,0,0,0,0,0
ENSMUSG00000000317,1593.81,28,59,42,57,44,89,5,27
ENSMUSG00000000318,1310.78,155,368,166,335,72,12,22.61,26.56
ENSMUSG00000000320,3001,11,21,0,34,0,36,4,37
ENSMUSG00000000325,2032.14,261,440,369,957,262,150,18.25,10
ENSMUSG00000000326,1717.79,1347,2244,1198,2788,2456,1408,190.75,268
ENSMUSG00000000339,1520.74,584,1013,832,2300,270,183,53.93,13
ENSMUSG00000000340,3296,537,1197,496,2011,38,109,41,57
ENSMUSG00000000346,1826,4759,8189,4632,14655,3696,1631,1378,1977
ENSMUSG00000000355,770.59,538,627,440,1254,11,58,55,28
ENSMUSG00000000359,1148.67,0,0,0,27,0,0,1,5
